Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
180.2,0.68349,3.208939447
180.4,0.23933,1.125169846
180.6,0.83825,3.946256437
180.8,0.87201,4.110770381
181,0.43019,2.030725842
181.2,0,0
181.4,0.46301,2.191580834
181.6,0.24258,1.149764857
181.8,0.46603,2.211841824
182,0.24367,1.1580509
182.2,0.24408,1.161562063
182.4,0.32718,1.559124738
182.6,0.61055,2.913389116
182.8,0.040973,0.195775086
183,0.38858,1.859181412
183.2,0.22991,1.101488882
183.4,0.55378,2.656682934
183.6,0.55401,2.661334972
183.8,0.55488,2.669068784
184,0.33095,1.594046995
184.2,0.98135,4.733037996
184.4,1.221,5.896690702
184.6,0.14459,0.699208756
184.8,0.55852,2.704472352
185,0.34908,1.692557002
185.2,0.093679,0.454814613
185.4,0.85986,4.180161394
185.6,0.93259,4.539714207
185.8,0.3429,1.671386996
186,0.39071,1.906931793
186.2,0.67855,3.31614043
186.4,0,0
186.6,0.14024,0.687166236
186.8,0.65936,3.23504956
187,0.21334,1.048089589
187.2,0.5667,2.787702569
187.4,0.26832,1.321638388
187.6,0.72318,3.566741616
187.8,0.25915,1.279797827
188,0.47568,2.352172858
188.2,0.43663,2.161878982
188.4,0.79834,3.95793305
188.6,0.45554,2.261356862
188.8,0.061967,0.308009689
189,0.3427,1.705605647
189.2,0.74727,3.723934027
189.4,1.2385,6.179874458
189.6,0.82355,4.114642691
189.8,0.41546,2.078400294
190,0.49295,2.469221117
190.2,0.26497,1.328954969
190.4,0.26524,1.332012638
190.6,0.34055,1.712400316
190.8,0.89153,4.488640156
191,0.68723,3.46445306
191.2,0.69103,3.488048777
191.4,0.24063,1.216151922
191.6,0.80863,4.092038022
191.8,0.12545,0.635640515
192,0.41748,2.118005197
192.2,0.040087,0.203631375
192.4,0.27004,1.373467482
192.6,0.2706,1.378055079
192.8,0.35481,1.809182994
193,0.52297,2.669996223
193.2,0.37793,1.931931973
193.4,0.65145,3.334321812
193.6,0.75482,3.868255573
193.8,0.35402,1.816537098
194,0.044751,0.229912885
194.2,0.27431,1.411060659
194.4,0.11596,0.597248563
194.6,0.78887,4.06812792
194.8,0.1528,0.788958502
195,0.83216,4.302082017
